,loan_id,gender,married,dependents,education,self_employed,applicantincome,coapplicantincome,loanamount,loan_amount_term,credit_history,property_area,loan_status
1,lp001003,male,yes,1.0,graduate,no,4583,1508.0,128.0,360.0,1.0,rural,n
2,lp001005,male,yes,0.0,graduate,yes,3000,0.0,66.0,360.0,1.0,urban,y
3,lp001006,male,yes,0.0,not graduate,no,2583,2358.0,120.0,360.0,1.0,urban,y
4,lp001008,male,no,0.0,graduate,no,6000,0.0,141.0,360.0,1.0,urban,y
5,lp001011,male,yes,2.0,graduate,yes,5417,4196.0,267.0,360.0,1.0,urban,y
6,lp001013,male,yes,0.0,not graduate,no,2333,1516.0,95.0,360.0,1.0,urban,y
7,lp001014,male,yes,3.0,graduate,no,3036,2504.0,158.0,360.0,0.0,semiurban,n
8,lp001018,male,yes,2.0,graduate,no,4006,1526.0,168.0,360.0,1.0,urban,y
9,lp001020,male,yes,1.0,graduate,no,12841,10968.0,349.0,360.0,1.0,semiurban,n
10,lp001024,male,yes,2.0,graduate,no,3200,700.0,70.0,360.0,1.0,urban,y
12,lp001028,male,yes,2.0,graduate,no,3073,8106.0,200.0,360.0,1.0,urban,y
13,lp001029,male,no,0.0,graduate,no,1853,2840.0,114.0,360.0,1.0,rural,n
14,lp001030,male,yes,2.0,graduate,no,1299,1086.0,17.0,120.0,1.0,urban,y
15,lp001032,male,no,0.0,graduate,no,4950,0.0,125.0,360.0,1.0,urban,y
16,lp001034,male,no,1.0,not graduate,no,3596,0.0,100.0,240.0,,urban,y
17,lp001036,female,no,0.0,graduate,no,3510,0.0,76.0,360.0,0.0,urban,n
18,lp001038,male,yes,0.0,not graduate,no,4887,0.0,133.0,360.0,1.0,rural,n
20,lp001043,male,yes,0.0,not graduate,no,7660,0.0,104.0,360.0,0.0,urban,n
21,lp001046,male,yes,1.0,graduate,no,5955,5625.0,315.0,360.0,1.0,urban,y
22,lp001047,male,yes,0.0,not graduate,no,2600,1911.0,116.0,360.0,0.0,semiurban,n
25,lp001066,male,yes,0.0,graduate,yes,9560,0.0,191.0,360.0,1.0,semiurban,y
26,lp001068,male,yes,0.0,graduate,no,2799,2253.0,122.0,360.0,1.0,semiurban,y
27,lp001073,male,yes,2.0,not graduate,no,4226,1040.0,110.0,360.0,1.0,urban,y
28,lp001086,male,no,0.0,not graduate,no,1442,0.0,35.0,360.0,1.0,urban,n
31,lp001095,male,no,0.0,graduate,no,3167,0.0,74.0,360.0,1.0,urban,n
32,lp001097,male,no,1.0,graduate,yes,4692,0.0,106.0,360.0,1.0,rural,n
33,lp001098,male,yes,0.0,graduate,no,3500,1667.0,114.0,360.0,1.0,semiurban,y
34,lp001100,male,no,3.0,graduate,no,12500,3000.0,320.0,360.0,1.0,rural,n
37,lp001112,female,yes,0.0,graduate,no,3667,1459.0,144.0,360.0,1.0,semiurban,y
38,lp001114,male,no,0.0,graduate,no,4166,7210.0,184.0,360.0,1.0,urban,y
39,lp001116,male,no,0.0,not graduate,no,3748,1668.0,110.0,360.0,1.0,semiurban,y
40,lp001119,male,no,0.0,graduate,no,3600,0.0,80.0,360.0,1.0,urban,n
41,lp001120,male,no,0.0,graduate,no,1800,1213.0,47.0,360.0,1.0,urban,y
42,lp001123,male,yes,0.0,graduate,no,2400,0.0,75.0,360.0,,urban,y
43,lp001131,male,yes,0.0,graduate,no,3941,2336.0,134.0,360.0,1.0,semiurban,y
46,lp001138,male,yes,1.0,graduate,no,5649,0.0,44.0,360.0,1.0,urban,y
47,lp001144,male,yes,0.0,graduate,no,5821,0.0,144.0,360.0,1.0,urban,y
48,lp001146,female,yes,0.0,graduate,no,2645,3440.0,120.0,360.0,0.0,urban,n
49,lp001151,female,no,0.0,graduate,no,4000,2275.0,144.0,360.0,1.0,semiurban,y
50,lp001155,female,yes,0.0,not graduate,no,1928,1644.0,100.0,360.0,1.0,semiurban,y
51,lp001157,female,no,0.0,graduate,no,3086,0.0,120.0,360.0,1.0,semiurban,y
52,lp001164,female,no,0.0,graduate,no,4230,0.0,112.0,360.0,1.0,semiurban,n
53,lp001179,male,yes,2.0,graduate,no,4616,0.0,134.0,360.0,1.0,urban,n
54,lp001186,female,yes,1.0,graduate,yes,11500,0.0,286.0,360.0,0.0,urban,n
55,lp001194,male,yes,2.0,graduate,no,2708,1167.0,97.0,360.0,1.0,semiurban,y
56,lp001195,male,yes,0.0,graduate,no,2132,1591.0,96.0,360.0,1.0,semiurban,y
57,lp001197,male,yes,0.0,graduate,no,3366,2200.0,135.0,360.0,1.0,rural,n
58,lp001198,male,yes,1.0,graduate,no,8080,2250.0,180.0,360.0,1.0,urban,y
59,lp001199,male,yes,2.0,not graduate,no,3357,2859.0,144.0,360.0,1.0,urban,y
60,lp001205,male,yes,0.0,graduate,no,2500,3796.0,120.0,360.0,1.0,urban,y
61,lp001206,male,yes,3.0,graduate,no,3029,0.0,99.0,360.0,1.0,urban,y
62,lp001207,male,yes,0.0,not graduate,yes,2609,3449.0,165.0,180.0,0.0,rural,n
64,lp001222,female,no,0.0,graduate,no,4166,0.0,116.0,360.0,0.0,semiurban,n
65,lp001225,male,yes,0.0,graduate,no,5726,4595.0,258.0,360.0,1.0,semiurban,n
66,lp001228,male,no,0.0,not graduate,no,3200,2254.0,126.0,180.0,0.0,urban,n
67,lp001233,male,yes,1.0,graduate,no,10750,0.0,312.0,360.0,1.0,urban,y
68,lp001238,male,yes,3.0,not graduate,yes,7100,0.0,125.0,60.0,1.0,urban,y
69,lp001241,female,no,0.0,graduate,no,4300,0.0,136.0,360.0,0.0,semiurban,n
70,lp001243,male,yes,0.0,graduate,no,3208,3066.0,172.0,360.0,1.0,urban,y
71,lp001245,male,yes,2.0,not graduate,yes,1875,1875.0,97.0,360.0,1.0,semiurban,y
72,lp001248,male,no,0.0,graduate,no,3500,0.0,81.0,300.0,1.0,semiurban,y
74,lp001253,male,yes,3.0,graduate,yes,5266,1774.0,187.0,360.0,1.0,semiurban,y
75,lp001255,male,no,0.0,graduate,no,3750,0.0,113.0,480.0,1.0,urban,n
76,lp001256,male,no,0.0,graduate,no,3750,4750.0,176.0,360.0,1.0,urban,n
77,lp001259,male,yes,1.0,graduate,yes,1000,3022.0,110.0,360.0,1.0,urban,n
78,lp001263,male,yes,3.0,graduate,no,3167,4000.0,180.0,300.0,0.0,semiurban,n
79,lp001264,male,yes,3.0,not graduate,yes,3333,2166.0,130.0,360.0,,semiurban,y
80,lp001265,female,no,0.0,graduate,no,3846,0.0,111.0,360.0,1.0,semiurban,y
82,lp001267,female,yes,2.0,graduate,no,1378,1881.0,167.0,360.0,1.0,urban,n
83,lp001273,male,yes,0.0,graduate,no,6000,2250.0,265.0,360.0,,semiurban,n
84,lp001275,male,yes,1.0,graduate,no,3988,0.0,50.0,240.0,1.0,urban,y
85,lp001279,male,no,0.0,graduate,no,2366,2531.0,136.0,360.0,1.0,semiurban,y
86,lp001280,male,yes,2.0,not graduate,no,3333,2000.0,99.0,360.0,,semiurban,y
87,lp001282,male,yes,0.0,graduate,no,2500,2118.0,104.0,360.0,1.0,semiurban,y
88,lp001289,male,no,0.0,graduate,no,8566,0.0,210.0,360.0,1.0,urban,y
89,lp001310,male,yes,0.0,graduate,no,5695,4167.0,175.0,360.0,1.0,semiurban,y
90,lp001316,male,yes,0.0,graduate,no,2958,2900.0,131.0,360.0,1.0,semiurban,y
91,lp001318,male,yes,2.0,graduate,no,6250,5654.0,188.0,180.0,1.0,semiurban,y
92,lp001319,male,yes,2.0,not graduate,no,3273,1820.0,81.0,360.0,1.0,urban,y
93,lp001322,male,no,0.0,graduate,no,4133,0.0,122.0,360.0,1.0,semiurban,y
94,lp001325,male,no,0.0,not graduate,no,3620,0.0,25.0,120.0,1.0,semiurban,y
96,lp001327,female,yes,0.0,graduate,no,2484,2302.0,137.0,360.0,1.0,semiurban,y
97,lp001333,male,yes,0.0,graduate,no,1977,997.0,50.0,360.0,1.0,semiurban,y
98,lp001334,male,yes,0.0,not graduate,no,4188,0.0,115.0,180.0,1.0,semiurban,y
99,lp001343,male,yes,0.0,graduate,no,1759,3541.0,131.0,360.0,1.0,semiurban,y
100,lp001345,male,yes,2.0,not graduate,no,4288,3263.0,133.0,180.0,1.0,urban,y
101,lp001349,male,no,0.0,graduate,no,4843,3806.0,151.0,360.0,1.0,semiurban,y
105,lp001367,male,yes,1.0,graduate,no,3052,1030.0,100.0,360.0,1.0,urban,y
106,lp001369,male,yes,2.0,graduate,no,11417,1126.0,225.0,360.0,1.0,urban,y
108,lp001379,male,yes,2.0,graduate,no,3800,3600.0,216.0,360.0,0.0,urban,n
109,lp001384,male,yes,3.0,not graduate,no,2071,754.0,94.0,480.0,1.0,semiurban,y
110,lp001385,male,no,0.0,graduate,no,5316,0.0,136.0,360.0,1.0,urban,y
115,lp001401,male,yes,1.0,graduate,no,14583,0.0,185.0,180.0,1.0,rural,y
116,lp001404,female,yes,0.0,graduate,no,3167,2283.0,154.0,360.0,1.0,semiurban,y
117,lp001405,male,yes,1.0,graduate,no,2214,1398.0,85.0,360.0,,urban,y
118,lp001421,male,yes,0.0,graduate,no,5568,2142.0,175.0,360.0,1.0,rural,n
119,lp001422,female,no,0.0,graduate,no,10408,0.0,259.0,360.0,1.0,urban,y
121,lp001430,female,no,0.0,graduate,no,4166,0.0,44.0,360.0,1.0,semiurban,y
122,lp001431,female,no,0.0,graduate,no,2137,8980.0,137.0,360.0,0.0,semiurban,y
123,lp001432,male,yes,2.0,graduate,no,2957,0.0,81.0,360.0,1.0,semiurban,y
124,lp001439,male,yes,0.0,not graduate,no,4300,2014.0,194.0,360.0,1.0,rural,y
125,lp001443,female,no,0.0,graduate,no,3692,0.0,93.0,360.0,,rural,y
128,lp001451,male,yes,1.0,graduate,yes,10513,3850.0,160.0,180.0,0.0,urban,n
129,lp001465,male,yes,0.0,graduate,no,6080,2569.0,182.0,360.0,,rural,n
130,lp001469,male,no,0.0,graduate,yes,20166,0.0,650.0,480.0,,urban,y
131,lp001473,male,no,0.0,graduate,no,2014,1929.0,74.0,360.0,1.0,urban,y
132,lp001478,male,no,0.0,graduate,no,2718,0.0,70.0,360.0,1.0,semiurban,y
133,lp001482,male,yes,0.0,graduate,yes,3459,0.0,25.0,120.0,1.0,semiurban,y
134,lp001487,male,no,0.0,graduate,no,4895,0.0,102.0,360.0,1.0,semiurban,y
135,lp001488,male,yes,3.0,graduate,no,4000,7750.0,290.0,360.0,1.0,semiurban,n
136,lp001489,female,yes,0.0,graduate,no,4583,0.0,84.0,360.0,1.0,rural,n
137,lp001491,male,yes,2.0,graduate,yes,3316,3500.0,88.0,360.0,1.0,urban,y
138,lp001492,male,no,0.0,graduate,no,14999,0.0,242.0,360.0,0.0,semiurban,n
139,lp001493,male,yes,2.0,not graduate,no,4200,1430.0,129.0,360.0,1.0,rural,n
140,lp001497,male,yes,2.0,graduate,no,5042,2083.0,185.0,360.0,1.0,rural,n
141,lp001498,male,no,0.0,graduate,no,5417,0.0,168.0,360.0,1.0,urban,y
142,lp001504,male,no,0.0,graduate,yes,6950,0.0,175.0,180.0,1.0,semiurban,y
143,lp001507,male,yes,0.0,graduate,no,2698,2034.0,122.0,360.0,1.0,semiurban,y
144,lp001508,male,yes,2.0,graduate,no,11757,0.0,187.0,180.0,1.0,urban,y
145,lp001514,female,yes,0.0,graduate,no,2330,4486.0,100.0,360.0,1.0,semiurban,y
146,lp001516,female,yes,2.0,graduate,no,14866,0.0,70.0,360.0,1.0,urban,y
147,lp001518,male,yes,1.0,graduate,no,1538,1425.0,30.0,360.0,1.0,urban,y
148,lp001519,female,no,0.0,graduate,no,10000,1666.0,225.0,360.0,1.0,rural,n
149,lp001520,male,yes,0.0,graduate,no,4860,830.0,125.0,360.0,1.0,semiurban,y
150,lp001528,male,no,0.0,graduate,no,6277,0.0,118.0,360.0,0.0,rural,n
151,lp001529,male,yes,0.0,graduate,yes,2577,3750.0,152.0,360.0,1.0,rural,y
152,lp001531,male,no,0.0,graduate,no,9166,0.0,244.0,360.0,1.0,urban,n
153,lp001532,male,yes,2.0,not graduate,no,2281,0.0,113.0,360.0,1.0,rural,n
154,lp001535,male,no,0.0,graduate,no,3254,0.0,50.0,360.0,1.0,urban,y
155,lp001536,male,yes,3.0,graduate,no,39999,0.0,600.0,180.0,0.0,semiurban,y
156,lp001541,male,yes,1.0,graduate,no,6000,0.0,160.0,360.0,,rural,y
157,lp001543,male,yes,1.0,graduate,no,9538,0.0,187.0,360.0,1.0,urban,y
159,lp001552,male,yes,0.0,graduate,no,4583,5625.0,255.0,360.0,1.0,semiurban,y
160,lp001560,male,yes,0.0,not graduate,no,1863,1041.0,98.0,360.0,1.0,semiurban,y
161,lp001562,male,yes,0.0,graduate,no,7933,0.0,275.0,360.0,1.0,urban,n
162,lp001565,male,yes,1.0,graduate,no,3089,1280.0,121.0,360.0,0.0,semiurban,n
163,lp001570,male,yes,2.0,graduate,no,4167,1447.0,158.0,360.0,1.0,rural,y
164,lp001572,male,yes,0.0,graduate,no,9323,0.0,75.0,180.0,1.0,urban,y
166,lp001577,female,yes,0.0,graduate,no,4583,0.0,112.0,360.0,1.0,rural,n
167,lp001578,male,yes,0.0,graduate,no,2439,3333.0,129.0,360.0,1.0,rural,y
168,lp001579,male,no,0.0,graduate,no,2237,0.0,63.0,480.0,0.0,semiurban,n
169,lp001580,male,yes,2.0,graduate,no,8000,0.0,200.0,360.0,1.0,semiurban,y
172,lp001586,male,yes,3.0,not graduate,no,3522,0.0,81.0,180.0,1.0,rural,n
173,lp001594,male,yes,0.0,graduate,no,5708,5625.0,187.0,360.0,1.0,semiurban,y
174,lp001603,male,yes,0.0,not graduate,yes,4344,736.0,87.0,360.0,1.0,semiurban,n
175,lp001606,male,yes,0.0,graduate,no,3497,1964.0,116.0,360.0,1.0,rural,y
176,lp001608,male,yes,2.0,graduate,no,2045,1619.0,101.0,360.0,1.0,rural,y
177,lp001610,male,yes,3.0,graduate,no,5516,11300.0,495.0,360.0,0.0,semiurban,n
178,lp001616,male,yes,1.0,graduate,no,3750,0.0,116.0,360.0,1.0,semiurban,y
179,lp001630,male,no,0.0,not graduate,no,2333,1451.0,102.0,480.0,0.0,urban,n
180,lp001633,male,yes,1.0,graduate,no,6400,7250.0,180.0,360.0,0.0,urban,n
181,lp001634,male,no,0.0,graduate,no,1916,5063.0,67.0,360.0,,rural,n
182,lp001636,male,yes,0.0,graduate,no,4600,0.0,73.0,180.0,1.0,semiurban,y
183,lp001637,male,yes,1.0,graduate,no,33846,0.0,260.0,360.0,1.0,semiurban,n
184,lp001639,female,yes,0.0,graduate,no,3625,0.0,108.0,360.0,1.0,semiurban,y
185,lp001640,male,yes,0.0,graduate,yes,39147,4750.0,120.0,360.0,1.0,semiurban,y
186,lp001641,male,yes,1.0,graduate,yes,2178,0.0,66.0,300.0,0.0,rural,n
187,lp001643,male,yes,0.0,graduate,no,2383,2138.0,58.0,360.0,,rural,y
189,lp001647,male,yes,0.0,graduate,no,9328,0.0,188.0,180.0,1.0,rural,y
190,lp001653,male,no,0.0,not graduate,no,4885,0.0,48.0,360.0,1.0,rural,y
191,lp001656,male,no,0.0,graduate,no,12000,0.0,164.0,360.0,1.0,semiurban,n
192,lp001657,male,yes,0.0,not graduate,no,6033,0.0,160.0,360.0,1.0,urban,n
193,lp001658,male,no,0.0,graduate,no,3858,0.0,76.0,360.0,1.0,semiurban,y
194,lp001664,male,no,0.0,graduate,no,4191,0.0,120.0,360.0,1.0,rural,y
195,lp001665,male,yes,1.0,graduate,no,3125,2583.0,170.0,360.0,1.0,semiurban,n
196,lp001666,male,no,0.0,graduate,no,8333,3750.0,187.0,360.0,1.0,rural,y
198,lp001671,female,yes,0.0,graduate,no,3416,2816.0,113.0,360.0,,semiurban,y
199,lp001673,male,no,0.0,graduate,yes,11000,0.0,83.0,360.0,1.0,urban,n
200,lp001674,male,yes,1.0,not graduate,no,2600,2500.0,90.0,360.0,1.0,semiurban,y
201,lp001677,male,no,2.0,graduate,no,4923,0.0,166.0,360.0,0.0,semiurban,y
203,lp001688,male,yes,1.0,not graduate,no,3500,1083.0,135.0,360.0,1.0,urban,y
204,lp001691,male,yes,2.0,not graduate,no,3917,0.0,124.0,360.0,1.0,semiurban,y
205,lp001692,female,no,0.0,not graduate,no,4408,0.0,120.0,360.0,1.0,semiurban,y
206,lp001693,female,no,0.0,graduate,no,3244,0.0,80.0,360.0,1.0,urban,y
207,lp001698,male,no,0.0,not graduate,no,3975,2531.0,55.0,360.0,1.0,rural,y
208,lp001699,male,no,0.0,graduate,no,2479,0.0,59.0,360.0,1.0,urban,y
209,lp001702,male,no,0.0,graduate,no,3418,0.0,127.0,360.0,1.0,semiurban,n
210,lp001708,female,no,0.0,graduate,no,10000,0.0,214.0,360.0,1.0,semiurban,n
211,lp001711,male,yes,3.0,graduate,no,3430,1250.0,128.0,360.0,0.0,semiurban,n
212,lp001713,male,yes,1.0,graduate,yes,7787,0.0,240.0,360.0,1.0,urban,y
213,lp001715,male,yes,3.0,not graduate,yes,5703,0.0,130.0,360.0,1.0,rural,y
214,lp001716,male,yes,0.0,graduate,no,3173,3021.0,137.0,360.0,1.0,urban,y
215,lp001720,male,yes,3.0,not graduate,no,3850,983.0,100.0,360.0,1.0,semiurban,y
216,lp001722,male,yes,0.0,graduate,no,150,1800.0,135.0,360.0,1.0,rural,n
217,lp001726,male,yes,0.0,graduate,no,3727,1775.0,131.0,360.0,1.0,semiurban,y
219,lp001734,female,yes,2.0,graduate,no,4283,2383.0,127.0,360.0,,semiurban,y
220,lp001736,male,yes,0.0,graduate,no,2221,0.0,60.0,360.0,0.0,urban,n
221,lp001743,male,yes,2.0,graduate,no,4009,1717.0,116.0,360.0,1.0,semiurban,y
222,lp001744,male,no,0.0,graduate,no,2971,2791.0,144.0,360.0,1.0,semiurban,y
224,lp001750,male,yes,0.0,graduate,no,6250,0.0,128.0,360.0,1.0,semiurban,y
225,lp001751,male,yes,0.0,graduate,no,3250,0.0,170.0,360.0,1.0,rural,n
227,lp001758,male,yes,2.0,graduate,no,6250,1695.0,210.0,360.0,1.0,semiurban,y
229,lp001761,male,no,0.0,graduate,yes,6400,0.0,200.0,360.0,1.0,rural,y
230,lp001765,male,yes,1.0,graduate,no,2491,2054.0,104.0,360.0,1.0,semiurban,y
233,lp001776,female,no,0.0,graduate,no,8333,0.0,280.0,360.0,1.0,semiurban,y
234,lp001778,male,yes,1.0,graduate,no,3155,1779.0,140.0,360.0,1.0,semiurban,y
235,lp001784,male,yes,1.0,graduate,no,5500,1260.0,170.0,360.0,1.0,rural,y
237,lp001788,female,no,0.0,graduate,yes,3463,0.0,122.0,360.0,,urban,y
238,lp001790,female,no,1.0,graduate,no,3812,0.0,112.0,360.0,1.0,rural,y
239,lp001792,male,yes,1.0,graduate,no,3315,0.0,96.0,360.0,1.0,semiurban,y
240,lp001798,male,yes,2.0,graduate,no,5819,5000.0,120.0,360.0,1.0,rural,y
241,lp001800,male,yes,1.0,not graduate,no,2510,1983.0,140.0,180.0,1.0,urban,n
242,lp001806,male,no,0.0,graduate,no,2965,5701.0,155.0,60.0,1.0,urban,y
243,lp001807,male,yes,2.0,graduate,yes,6250,1300.0,108.0,360.0,1.0,rural,y
244,lp001811,male,yes,0.0,not graduate,no,3406,4417.0,123.0,360.0,1.0,semiurban,y
245,lp001813,male,no,0.0,graduate,yes,6050,4333.0,120.0,180.0,1.0,urban,n
246,lp001814,male,yes,2.0,graduate,no,9703,0.0,112.0,360.0,1.0,urban,y
247,lp001819,male,yes,1.0,not graduate,no,6608,0.0,137.0,180.0,1.0,urban,y
248,lp001824,male,yes,1.0,graduate,no,2882,1843.0,123.0,480.0,1.0,semiurban,y
249,lp001825,male,yes,0.0,graduate,no,1809,1868.0,90.0,360.0,1.0,urban,y
250,lp001835,male,yes,0.0,not graduate,no,1668,3890.0,201.0,360.0,0.0,semiurban,n
251,lp001836,female,no,2.0,graduate,no,3427,0.0,138.0,360.0,1.0,urban,n
252,lp001841,male,no,0.0,not graduate,yes,2583,2167.0,104.0,360.0,1.0,rural,y
253,lp001843,male,yes,1.0,not graduate,no,2661,7101.0,279.0,180.0,1.0,semiurban,y
254,lp001844,male,no,0.0,graduate,yes,16250,0.0,192.0,360.0,0.0,urban,n
255,lp001846,female,no,3.0,graduate,no,3083,0.0,255.0,360.0,1.0,rural,y
256,lp001849,male,no,0.0,not graduate,no,6045,0.0,115.0,360.0,0.0,rural,n
257,lp001854,male,yes,3.0,graduate,no,5250,0.0,94.0,360.0,1.0,urban,n
258,lp001859,male,yes,0.0,graduate,no,14683,2100.0,304.0,360.0,1.0,rural,n
259,lp001864,male,yes,3.0,not graduate,no,4931,0.0,128.0,360.0,,semiurban,n
260,lp001865,male,yes,1.0,graduate,no,6083,4250.0,330.0,360.0,,urban,y
261,lp001868,male,no,0.0,graduate,no,2060,2209.0,134.0,360.0,1.0,semiurban,y
262,lp001870,female,no,1.0,graduate,no,3481,0.0,155.0,36.0,1.0,semiurban,n
263,lp001871,female,no,0.0,graduate,no,7200,0.0,120.0,360.0,1.0,rural,y
264,lp001872,male,no,0.0,graduate,yes,5166,0.0,128.0,360.0,1.0,semiurban,y
265,lp001875,male,no,0.0,graduate,no,4095,3447.0,151.0,360.0,1.0,rural,y
266,lp001877,male,yes,2.0,graduate,no,4708,1387.0,150.0,360.0,1.0,semiurban,y
267,lp001882,male,yes,3.0,graduate,no,4333,1811.0,160.0,360.0,0.0,urban,y
269,lp001884,female,no,1.0,graduate,no,2876,1560.0,90.0,360.0,1.0,urban,y
270,lp001888,female,no,0.0,graduate,no,3237,0.0,30.0,360.0,1.0,urban,y
271,lp001891,male,yes,0.0,graduate,no,11146,0.0,136.0,360.0,1.0,urban,y
272,lp001892,male,no,0.0,graduate,no,2833,1857.0,126.0,360.0,1.0,rural,y
273,lp001894,male,yes,0.0,graduate,no,2620,2223.0,150.0,360.0,1.0,semiurban,y
274,lp001896,male,yes,2.0,graduate,no,3900,0.0,90.0,360.0,1.0,semiurban,y
275,lp001900,male,yes,1.0,graduate,no,2750,1842.0,115.0,360.0,1.0,semiurban,y
276,lp001903,male,yes,0.0,graduate,no,3993,3274.0,207.0,360.0,1.0,semiurban,y
277,lp001904,male,yes,0.0,graduate,no,3103,1300.0,80.0,360.0,1.0,urban,y
278,lp001907,male,yes,0.0,graduate,no,14583,0.0,436.0,360.0,1.0,semiurban,y
279,lp001908,female,yes,0.0,not graduate,no,4100,0.0,124.0,360.0,,rural,y
280,lp001910,male,no,1.0,not graduate,yes,4053,2426.0,158.0,360.0,0.0,urban,n
281,lp001914,male,yes,0.0,graduate,no,3927,800.0,112.0,360.0,1.0,semiurban,y
282,lp001915,male,yes,2.0,graduate,no,2301,985.7999878,78.0,180.0,1.0,urban,y
283,lp001917,female,no,0.0,graduate,no,1811,1666.0,54.0,360.0,1.0,urban,y
285,lp001924,male,no,0.0,graduate,no,3158,3053.0,89.0,360.0,1.0,rural,y
286,lp001925,female,no,0.0,graduate,yes,2600,1717.0,99.0,300.0,1.0,semiurban,n
287,lp001926,male,yes,0.0,graduate,no,3704,2000.0,120.0,360.0,1.0,rural,y
288,lp001931,female,no,0.0,graduate,no,4124,0.0,115.0,360.0,1.0,semiurban,y
289,lp001935,male,no,0.0,graduate,no,9508,0.0,187.0,360.0,1.0,rural,y
290,lp001936,male,yes,0.0,graduate,no,3075,2416.0,139.0,360.0,1.0,rural,y
291,lp001938,male,yes,2.0,graduate,no,4400,0.0,127.0,360.0,0.0,semiurban,n
292,lp001940,male,yes,2.0,graduate,no,3153,1560.0,134.0,360.0,1.0,urban,y
294,lp001947,male,yes,0.0,graduate,no,2383,3334.0,172.0,360.0,1.0,semiurban,y
296,lp001953,male,yes,1.0,graduate,no,6875,0.0,200.0,360.0,1.0,semiurban,y
297,lp001954,female,yes,1.0,graduate,no,4666,0.0,135.0,360.0,1.0,urban,y
298,lp001955,female,no,0.0,graduate,no,5000,2541.0,151.0,480.0,1.0,rural,n
299,lp001963,male,yes,1.0,graduate,no,2014,2925.0,113.0,360.0,1.0,urban,n
300,lp001964,male,yes,0.0,not graduate,no,1800,2934.0,93.0,360.0,0.0,urban,n
302,lp001974,female,no,0.0,graduate,no,5000,0.0,132.0,360.0,1.0,rural,y
303,lp001977,male,yes,1.0,graduate,no,1625,1803.0,96.0,360.0,1.0,urban,y
304,lp001978,male,no,0.0,graduate,no,4000,2500.0,140.0,360.0,1.0,rural,y
