,gender,married,dependents,education,self_employed,applicantincome,coapplicantincome,loanamount,loan_amount_term,credit_history,property_area,loan_status
1,male,yes,1.0,graduate,no,4583,1508.0,128.0,360.0,1.0,rural,n
2,male,yes,0.0,graduate,yes,3000,0.0,66.0,360.0,1.0,urban,y
3,male,yes,0.0,not graduate,no,2583,2358.0,120.0,360.0,1.0,urban,y
4,male,no,0.0,graduate,no,6000,0.0,141.0,360.0,1.0,urban,y
5,male,yes,2.0,graduate,yes,5417,4196.0,267.0,360.0,1.0,urban,y
6,male,yes,0.0,not graduate,no,2333,1516.0,95.0,360.0,1.0,urban,y
7,male,yes,3.0,graduate,no,3036,2504.0,158.0,360.0,0.0,semiurban,n
8,male,yes,2.0,graduate,no,4006,1526.0,168.0,360.0,1.0,urban,y
9,male,yes,1.0,graduate,no,12841,10968.0,349.0,360.0,1.0,semiurban,n
10,male,yes,2.0,graduate,no,3200,700.0,70.0,360.0,1.0,urban,y
12,male,yes,2.0,graduate,no,3073,8106.0,200.0,360.0,1.0,urban,y
13,male,no,0.0,graduate,no,1853,2840.0,114.0,360.0,1.0,rural,n
14,male,yes,2.0,graduate,no,1299,1086.0,17.0,120.0,1.0,urban,y
15,male,no,0.0,graduate,no,4950,0.0,125.0,360.0,1.0,urban,y
17,female,no,0.0,graduate,no,3510,0.0,76.0,360.0,0.0,urban,n
18,male,yes,0.0,not graduate,no,4887,0.0,133.0,360.0,1.0,rural,n
20,male,yes,0.0,not graduate,no,7660,0.0,104.0,360.0,0.0,urban,n
21,male,yes,1.0,graduate,no,5955,5625.0,315.0,360.0,1.0,urban,y
22,male,yes,0.0,not graduate,no,2600,1911.0,116.0,360.0,0.0,semiurban,n
25,male,yes,0.0,graduate,yes,9560,0.0,191.0,360.0,1.0,semiurban,y
26,male,yes,0.0,graduate,no,2799,2253.0,122.0,360.0,1.0,semiurban,y
27,male,yes,2.0,not graduate,no,4226,1040.0,110.0,360.0,1.0,urban,y
28,male,no,0.0,not graduate,no,1442,0.0,35.0,360.0,1.0,urban,n
31,male,no,0.0,graduate,no,3167,0.0,74.0,360.0,1.0,urban,n
32,male,no,1.0,graduate,yes,4692,0.0,106.0,360.0,1.0,rural,n
33,male,yes,0.0,graduate,no,3500,1667.0,114.0,360.0,1.0,semiurban,y
34,male,no,3.0,graduate,no,12500,3000.0,320.0,360.0,1.0,rural,n
37,female,yes,0.0,graduate,no,3667,1459.0,144.0,360.0,1.0,semiurban,y
38,male,no,0.0,graduate,no,4166,7210.0,184.0,360.0,1.0,urban,y
39,male,no,0.0,not graduate,no,3748,1668.0,110.0,360.0,1.0,semiurban,y
40,male,no,0.0,graduate,no,3600,0.0,80.0,360.0,1.0,urban,n
41,male,no,0.0,graduate,no,1800,1213.0,47.0,360.0,1.0,urban,y
43,male,yes,0.0,graduate,no,3941,2336.0,134.0,360.0,1.0,semiurban,y
46,male,yes,1.0,graduate,no,5649,0.0,44.0,360.0,1.0,urban,y
47,male,yes,0.0,graduate,no,5821,0.0,144.0,360.0,1.0,urban,y
48,female,yes,0.0,graduate,no,2645,3440.0,120.0,360.0,0.0,urban,n
49,female,no,0.0,graduate,no,4000,2275.0,144.0,360.0,1.0,semiurban,y
50,female,yes,0.0,not graduate,no,1928,1644.0,100.0,360.0,1.0,semiurban,y
51,female,no,0.0,graduate,no,3086,0.0,120.0,360.0,1.0,semiurban,y
52,female,no,0.0,graduate,no,4230,0.0,112.0,360.0,1.0,semiurban,n
53,male,yes,2.0,graduate,no,4616,0.0,134.0,360.0,1.0,urban,n
54,female,yes,1.0,graduate,yes,11500,0.0,286.0,360.0,0.0,urban,n
55,male,yes,2.0,graduate,no,2708,1167.0,97.0,360.0,1.0,semiurban,y
56,male,yes,0.0,graduate,no,2132,1591.0,96.0,360.0,1.0,semiurban,y
57,male,yes,0.0,graduate,no,3366,2200.0,135.0,360.0,1.0,rural,n
58,male,yes,1.0,graduate,no,8080,2250.0,180.0,360.0,1.0,urban,y
59,male,yes,2.0,not graduate,no,3357,2859.0,144.0,360.0,1.0,urban,y
60,male,yes,0.0,graduate,no,2500,3796.0,120.0,360.0,1.0,urban,y
61,male,yes,3.0,graduate,no,3029,0.0,99.0,360.0,1.0,urban,y
62,male,yes,0.0,not graduate,yes,2609,3449.0,165.0,180.0,0.0,rural,n
64,female,no,0.0,graduate,no,4166,0.0,116.0,360.0,0.0,semiurban,n
65,male,yes,0.0,graduate,no,5726,4595.0,258.0,360.0,1.0,semiurban,n
66,male,no,0.0,not graduate,no,3200,2254.0,126.0,180.0,0.0,urban,n
67,male,yes,1.0,graduate,no,10750,0.0,312.0,360.0,1.0,urban,y
68,male,yes,3.0,not graduate,yes,7100,0.0,125.0,60.0,1.0,urban,y
69,female,no,0.0,graduate,no,4300,0.0,136.0,360.0,0.0,semiurban,n
70,male,yes,0.0,graduate,no,3208,3066.0,172.0,360.0,1.0,urban,y
71,male,yes,2.0,not graduate,yes,1875,1875.0,97.0,360.0,1.0,semiurban,y
72,male,no,0.0,graduate,no,3500,0.0,81.0,300.0,1.0,semiurban,y
74,male,yes,3.0,graduate,yes,5266,1774.0,187.0,360.0,1.0,semiurban,y
75,male,no,0.0,graduate,no,3750,0.0,113.0,480.0,1.0,urban,n
76,male,no,0.0,graduate,no,3750,4750.0,176.0,360.0,1.0,urban,n
77,male,yes,1.0,graduate,yes,1000,3022.0,110.0,360.0,1.0,urban,n
78,male,yes,3.0,graduate,no,3167,4000.0,180.0,300.0,0.0,semiurban,n
80,female,no,0.0,graduate,no,3846,0.0,111.0,360.0,1.0,semiurban,y
82,female,yes,2.0,graduate,no,1378,1881.0,167.0,360.0,1.0,urban,n
84,male,yes,1.0,graduate,no,3988,0.0,50.0,240.0,1.0,urban,y
85,male,no,0.0,graduate,no,2366,2531.0,136.0,360.0,1.0,semiurban,y
87,male,yes,0.0,graduate,no,2500,2118.0,104.0,360.0,1.0,semiurban,y
88,male,no,0.0,graduate,no,8566,0.0,210.0,360.0,1.0,urban,y
89,male,yes,0.0,graduate,no,5695,4167.0,175.0,360.0,1.0,semiurban,y
90,male,yes,0.0,graduate,no,2958,2900.0,131.0,360.0,1.0,semiurban,y
91,male,yes,2.0,graduate,no,6250,5654.0,188.0,180.0,1.0,semiurban,y
92,male,yes,2.0,not graduate,no,3273,1820.0,81.0,360.0,1.0,urban,y
93,male,no,0.0,graduate,no,4133,0.0,122.0,360.0,1.0,semiurban,y
94,male,no,0.0,not graduate,no,3620,0.0,25.0,120.0,1.0,semiurban,y
96,female,yes,0.0,graduate,no,2484,2302.0,137.0,360.0,1.0,semiurban,y
97,male,yes,0.0,graduate,no,1977,997.0,50.0,360.0,1.0,semiurban,y
98,male,yes,0.0,not graduate,no,4188,0.0,115.0,180.0,1.0,semiurban,y
99,male,yes,0.0,graduate,no,1759,3541.0,131.0,360.0,1.0,semiurban,y
100,male,yes,2.0,not graduate,no,4288,3263.0,133.0,180.0,1.0,urban,y
101,male,no,0.0,graduate,no,4843,3806.0,151.0,360.0,1.0,semiurban,y
105,male,yes,1.0,graduate,no,3052,1030.0,100.0,360.0,1.0,urban,y
106,male,yes,2.0,graduate,no,11417,1126.0,225.0,360.0,1.0,urban,y
108,male,yes,2.0,graduate,no,3800,3600.0,216.0,360.0,0.0,urban,n
109,male,yes,3.0,not graduate,no,2071,754.0,94.0,480.0,1.0,semiurban,y
110,male,no,0.0,graduate,no,5316,0.0,136.0,360.0,1.0,urban,y
115,male,yes,1.0,graduate,no,14583,0.0,185.0,180.0,1.0,rural,y
116,female,yes,0.0,graduate,no,3167,2283.0,154.0,360.0,1.0,semiurban,y
118,male,yes,0.0,graduate,no,5568,2142.0,175.0,360.0,1.0,rural,n
119,female,no,0.0,graduate,no,10408,0.0,259.0,360.0,1.0,urban,y
121,female,no,0.0,graduate,no,4166,0.0,44.0,360.0,1.0,semiurban,y
122,female,no,0.0,graduate,no,2137,8980.0,137.0,360.0,0.0,semiurban,y
123,male,yes,2.0,graduate,no,2957,0.0,81.0,360.0,1.0,semiurban,y
124,male,yes,0.0,not graduate,no,4300,2014.0,194.0,360.0,1.0,rural,y
128,male,yes,1.0,graduate,yes,10513,3850.0,160.0,180.0,0.0,urban,n
131,male,no,0.0,graduate,no,2014,1929.0,74.0,360.0,1.0,urban,y
132,male,no,0.0,graduate,no,2718,0.0,70.0,360.0,1.0,semiurban,y
133,male,yes,0.0,graduate,yes,3459,0.0,25.0,120.0,1.0,semiurban,y
134,male,no,0.0,graduate,no,4895,0.0,102.0,360.0,1.0,semiurban,y
135,male,yes,3.0,graduate,no,4000,7750.0,290.0,360.0,1.0,semiurban,n
136,female,yes,0.0,graduate,no,4583,0.0,84.0,360.0,1.0,rural,n
137,male,yes,2.0,graduate,yes,3316,3500.0,88.0,360.0,1.0,urban,y
138,male,no,0.0,graduate,no,14999,0.0,242.0,360.0,0.0,semiurban,n
139,male,yes,2.0,not graduate,no,4200,1430.0,129.0,360.0,1.0,rural,n
140,male,yes,2.0,graduate,no,5042,2083.0,185.0,360.0,1.0,rural,n
141,male,no,0.0,graduate,no,5417,0.0,168.0,360.0,1.0,urban,y
142,male,no,0.0,graduate,yes,6950,0.0,175.0,180.0,1.0,semiurban,y
143,male,yes,0.0,graduate,no,2698,2034.0,122.0,360.0,1.0,semiurban,y
144,male,yes,2.0,graduate,no,11757,0.0,187.0,180.0,1.0,urban,y
145,female,yes,0.0,graduate,no,2330,4486.0,100.0,360.0,1.0,semiurban,y
146,female,yes,2.0,graduate,no,14866,0.0,70.0,360.0,1.0,urban,y
147,male,yes,1.0,graduate,no,1538,1425.0,30.0,360.0,1.0,urban,y
148,female,no,0.0,graduate,no,10000,1666.0,225.0,360.0,1.0,rural,n
149,male,yes,0.0,graduate,no,4860,830.0,125.0,360.0,1.0,semiurban,y
150,male,no,0.0,graduate,no,6277,0.0,118.0,360.0,0.0,rural,n
151,male,yes,0.0,graduate,yes,2577,3750.0,152.0,360.0,1.0,rural,y
152,male,no,0.0,graduate,no,9166,0.0,244.0,360.0,1.0,urban,n
153,male,yes,2.0,not graduate,no,2281,0.0,113.0,360.0,1.0,rural,n
154,male,no,0.0,graduate,no,3254,0.0,50.0,360.0,1.0,urban,y
155,male,yes,3.0,graduate,no,39999,0.0,600.0,180.0,0.0,semiurban,y
157,male,yes,1.0,graduate,no,9538,0.0,187.0,360.0,1.0,urban,y
159,male,yes,0.0,graduate,no,4583,5625.0,255.0,360.0,1.0,semiurban,y
160,male,yes,0.0,not graduate,no,1863,1041.0,98.0,360.0,1.0,semiurban,y
161,male,yes,0.0,graduate,no,7933,0.0,275.0,360.0,1.0,urban,n
162,male,yes,1.0,graduate,no,3089,1280.0,121.0,360.0,0.0,semiurban,n
163,male,yes,2.0,graduate,no,4167,1447.0,158.0,360.0,1.0,rural,y
164,male,yes,0.0,graduate,no,9323,0.0,75.0,180.0,1.0,urban,y
166,female,yes,0.0,graduate,no,4583,0.0,112.0,360.0,1.0,rural,n
167,male,yes,0.0,graduate,no,2439,3333.0,129.0,360.0,1.0,rural,y
168,male,no,0.0,graduate,no,2237,0.0,63.0,480.0,0.0,semiurban,n
169,male,yes,2.0,graduate,no,8000,0.0,200.0,360.0,1.0,semiurban,y
172,male,yes,3.0,not graduate,no,3522,0.0,81.0,180.0,1.0,rural,n
173,male,yes,0.0,graduate,no,5708,5625.0,187.0,360.0,1.0,semiurban,y
174,male,yes,0.0,not graduate,yes,4344,736.0,87.0,360.0,1.0,semiurban,n
175,male,yes,0.0,graduate,no,3497,1964.0,116.0,360.0,1.0,rural,y
176,male,yes,2.0,graduate,no,2045,1619.0,101.0,360.0,1.0,rural,y
177,male,yes,3.0,graduate,no,5516,11300.0,495.0,360.0,0.0,semiurban,n
178,male,yes,1.0,graduate,no,3750,0.0,116.0,360.0,1.0,semiurban,y
179,male,no,0.0,not graduate,no,2333,1451.0,102.0,480.0,0.0,urban,n
180,male,yes,1.0,graduate,no,6400,7250.0,180.0,360.0,0.0,urban,n
182,male,yes,0.0,graduate,no,4600,0.0,73.0,180.0,1.0,semiurban,y
183,male,yes,1.0,graduate,no,33846,0.0,260.0,360.0,1.0,semiurban,n
184,female,yes,0.0,graduate,no,3625,0.0,108.0,360.0,1.0,semiurban,y
185,male,yes,0.0,graduate,yes,39147,4750.0,120.0,360.0,1.0,semiurban,y
186,male,yes,1.0,graduate,yes,2178,0.0,66.0,300.0,0.0,rural,n
189,male,yes,0.0,graduate,no,9328,0.0,188.0,180.0,1.0,rural,y
190,male,no,0.0,not graduate,no,4885,0.0,48.0,360.0,1.0,rural,y
191,male,no,0.0,graduate,no,12000,0.0,164.0,360.0,1.0,semiurban,n
192,male,yes,0.0,not graduate,no,6033,0.0,160.0,360.0,1.0,urban,n
193,male,no,0.0,graduate,no,3858,0.0,76.0,360.0,1.0,semiurban,y
194,male,no,0.0,graduate,no,4191,0.0,120.0,360.0,1.0,rural,y
195,male,yes,1.0,graduate,no,3125,2583.0,170.0,360.0,1.0,semiurban,n
196,male,no,0.0,graduate,no,8333,3750.0,187.0,360.0,1.0,rural,y
199,male,no,0.0,graduate,yes,11000,0.0,83.0,360.0,1.0,urban,n
200,male,yes,1.0,not graduate,no,2600,2500.0,90.0,360.0,1.0,semiurban,y
201,male,no,2.0,graduate,no,4923,0.0,166.0,360.0,0.0,semiurban,y
203,male,yes,1.0,not graduate,no,3500,1083.0,135.0,360.0,1.0,urban,y
204,male,yes,2.0,not graduate,no,3917,0.0,124.0,360.0,1.0,semiurban,y
205,female,no,0.0,not graduate,no,4408,0.0,120.0,360.0,1.0,semiurban,y
206,female,no,0.0,graduate,no,3244,0.0,80.0,360.0,1.0,urban,y
207,male,no,0.0,not graduate,no,3975,2531.0,55.0,360.0,1.0,rural,y
208,male,no,0.0,graduate,no,2479,0.0,59.0,360.0,1.0,urban,y
209,male,no,0.0,graduate,no,3418,0.0,127.0,360.0,1.0,semiurban,n
210,female,no,0.0,graduate,no,10000,0.0,214.0,360.0,1.0,semiurban,n
211,male,yes,3.0,graduate,no,3430,1250.0,128.0,360.0,0.0,semiurban,n
212,male,yes,1.0,graduate,yes,7787,0.0,240.0,360.0,1.0,urban,y
213,male,yes,3.0,not graduate,yes,5703,0.0,130.0,360.0,1.0,rural,y
214,male,yes,0.0,graduate,no,3173,3021.0,137.0,360.0,1.0,urban,y
215,male,yes,3.0,not graduate,no,3850,983.0,100.0,360.0,1.0,semiurban,y
216,male,yes,0.0,graduate,no,150,1800.0,135.0,360.0,1.0,rural,n
217,male,yes,0.0,graduate,no,3727,1775.0,131.0,360.0,1.0,semiurban,y
220,male,yes,0.0,graduate,no,2221,0.0,60.0,360.0,0.0,urban,n
221,male,yes,2.0,graduate,no,4009,1717.0,116.0,360.0,1.0,semiurban,y
222,male,no,0.0,graduate,no,2971,2791.0,144.0,360.0,1.0,semiurban,y
224,male,yes,0.0,graduate,no,6250,0.0,128.0,360.0,1.0,semiurban,y
225,male,yes,0.0,graduate,no,3250,0.0,170.0,360.0,1.0,rural,n
227,male,yes,2.0,graduate,no,6250,1695.0,210.0,360.0,1.0,semiurban,y
229,male,no,0.0,graduate,yes,6400,0.0,200.0,360.0,1.0,rural,y
230,male,yes,1.0,graduate,no,2491,2054.0,104.0,360.0,1.0,semiurban,y
233,female,no,0.0,graduate,no,8333,0.0,280.0,360.0,1.0,semiurban,y
234,male,yes,1.0,graduate,no,3155,1779.0,140.0,360.0,1.0,semiurban,y
235,male,yes,1.0,graduate,no,5500,1260.0,170.0,360.0,1.0,rural,y
238,female,no,1.0,graduate,no,3812,0.0,112.0,360.0,1.0,rural,y
239,male,yes,1.0,graduate,no,3315,0.0,96.0,360.0,1.0,semiurban,y
240,male,yes,2.0,graduate,no,5819,5000.0,120.0,360.0,1.0,rural,y
241,male,yes,1.0,not graduate,no,2510,1983.0,140.0,180.0,1.0,urban,n
242,male,no,0.0,graduate,no,2965,5701.0,155.0,60.0,1.0,urban,y
243,male,yes,2.0,graduate,yes,6250,1300.0,108.0,360.0,1.0,rural,y
244,male,yes,0.0,not graduate,no,3406,4417.0,123.0,360.0,1.0,semiurban,y
245,male,no,0.0,graduate,yes,6050,4333.0,120.0,180.0,1.0,urban,n
246,male,yes,2.0,graduate,no,9703,0.0,112.0,360.0,1.0,urban,y
247,male,yes,1.0,not graduate,no,6608,0.0,137.0,180.0,1.0,urban,y
248,male,yes,1.0,graduate,no,2882,1843.0,123.0,480.0,1.0,semiurban,y
249,male,yes,0.0,graduate,no,1809,1868.0,90.0,360.0,1.0,urban,y
250,male,yes,0.0,not graduate,no,1668,3890.0,201.0,360.0,0.0,semiurban,n
251,female,no,2.0,graduate,no,3427,0.0,138.0,360.0,1.0,urban,n
252,male,no,0.0,not graduate,yes,2583,2167.0,104.0,360.0,1.0,rural,y
253,male,yes,1.0,not graduate,no,2661,7101.0,279.0,180.0,1.0,semiurban,y
254,male,no,0.0,graduate,yes,16250,0.0,192.0,360.0,0.0,urban,n
255,female,no,3.0,graduate,no,3083,0.0,255.0,360.0,1.0,rural,y
256,male,no,0.0,not graduate,no,6045,0.0,115.0,360.0,0.0,rural,n
257,male,yes,3.0,graduate,no,5250,0.0,94.0,360.0,1.0,urban,n
258,male,yes,0.0,graduate,no,14683,2100.0,304.0,360.0,1.0,rural,n
261,male,no,0.0,graduate,no,2060,2209.0,134.0,360.0,1.0,semiurban,y
262,female,no,1.0,graduate,no,3481,0.0,155.0,36.0,1.0,semiurban,n
263,female,no,0.0,graduate,no,7200,0.0,120.0,360.0,1.0,rural,y
264,male,no,0.0,graduate,yes,5166,0.0,128.0,360.0,1.0,semiurban,y
265,male,no,0.0,graduate,no,4095,3447.0,151.0,360.0,1.0,rural,y
266,male,yes,2.0,graduate,no,4708,1387.0,150.0,360.0,1.0,semiurban,y
267,male,yes,3.0,graduate,no,4333,1811.0,160.0,360.0,0.0,urban,y
269,female,no,1.0,graduate,no,2876,1560.0,90.0,360.0,1.0,urban,y
270,female,no,0.0,graduate,no,3237,0.0,30.0,360.0,1.0,urban,y
271,male,yes,0.0,graduate,no,11146,0.0,136.0,360.0,1.0,urban,y
272,male,no,0.0,graduate,no,2833,1857.0,126.0,360.0,1.0,rural,y
273,male,yes,0.0,graduate,no,2620,2223.0,150.0,360.0,1.0,semiurban,y
274,male,yes,2.0,graduate,no,3900,0.0,90.0,360.0,1.0,semiurban,y
275,male,yes,1.0,graduate,no,2750,1842.0,115.0,360.0,1.0,semiurban,y
276,male,yes,0.0,graduate,no,3993,3274.0,207.0,360.0,1.0,semiurban,y
277,male,yes,0.0,graduate,no,3103,1300.0,80.0,360.0,1.0,urban,y
278,male,yes,0.0,graduate,no,14583,0.0,436.0,360.0,1.0,semiurban,y
280,male,no,1.0,not graduate,yes,4053,2426.0,158.0,360.0,0.0,urban,n
281,male,yes,0.0,graduate,no,3927,800.0,112.0,360.0,1.0,semiurban,y
282,male,yes,2.0,graduate,no,2301,985.7999878,78.0,180.0,1.0,urban,y
283,female,no,0.0,graduate,no,1811,1666.0,54.0,360.0,1.0,urban,y
285,male,no,0.0,graduate,no,3158,3053.0,89.0,360.0,1.0,rural,y
286,female,no,0.0,graduate,yes,2600,1717.0,99.0,300.0,1.0,semiurban,n
287,male,yes,0.0,graduate,no,3704,2000.0,120.0,360.0,1.0,rural,y
288,female,no,0.0,graduate,no,4124,0.0,115.0,360.0,1.0,semiurban,y
289,male,no,0.0,graduate,no,9508,0.0,187.0,360.0,1.0,rural,y
290,male,yes,0.0,graduate,no,3075,2416.0,139.0,360.0,1.0,rural,y
291,male,yes,2.0,graduate,no,4400,0.0,127.0,360.0,0.0,semiurban,n
292,male,yes,2.0,graduate,no,3153,1560.0,134.0,360.0,1.0,urban,y
294,male,yes,0.0,graduate,no,2383,3334.0,172.0,360.0,1.0,semiurban,y
296,male,yes,1.0,graduate,no,6875,0.0,200.0,360.0,1.0,semiurban,y
297,female,yes,1.0,graduate,no,4666,0.0,135.0,360.0,1.0,urban,y
298,female,no,0.0,graduate,no,5000,2541.0,151.0,480.0,1.0,rural,n
299,male,yes,1.0,graduate,no,2014,2925.0,113.0,360.0,1.0,urban,n
300,male,yes,0.0,not graduate,no,1800,2934.0,93.0,360.0,0.0,urban,n
