,gender,married,dependents,education,self_employed,applicantincome,coapplicantincome,loanamount,loan_amount_term,credit_history,property_area,loan_status
302,female,no,0.0,graduate,no,5000,0.0,132.0,360.0,1.0,rural,y
303,male,yes,1.0,graduate,no,1625,1803.0,96.0,360.0,1.0,urban,y
304,male,no,0.0,graduate,no,4000,2500.0,140.0,360.0,1.0,rural,y
306,female,no,0.0,graduate,no,3762,1666.0,135.0,360.0,1.0,rural,y
307,female,no,0.0,graduate,no,2400,1863.0,104.0,360.0,0.0,urban,n
308,male,no,0.0,graduate,no,20233,0.0,480.0,360.0,1.0,rural,n
310,female,no,0.0,graduate,no,2917,0.0,84.0,360.0,1.0,semiurban,y
311,male,no,0.0,not graduate,no,2927,2405.0,111.0,360.0,1.0,semiurban,y
312,female,no,0.0,graduate,no,2507,0.0,56.0,360.0,1.0,rural,y
315,male,yes,1.0,not graduate,no,3399,1640.0,111.0,180.0,1.0,urban,y
316,male,yes,2.0,graduate,no,3717,0.0,120.0,360.0,1.0,semiurban,y
319,male,yes,1.0,graduate,yes,10000,0.0,155.0,360.0,1.0,rural,n
320,male,yes,0.0,graduate,no,2400,2167.0,115.0,360.0,1.0,semiurban,y
321,male,yes,3.0,graduate,no,4342,189.0,124.0,360.0,1.0,semiurban,y
324,male,yes,3.0,graduate,no,15000,0.0,300.0,360.0,1.0,rural,y
325,male,yes,1.0,graduate,yes,8666,4983.0,376.0,360.0,0.0,rural,n
326,male,no,0.0,graduate,no,4917,0.0,130.0,360.0,0.0,rural,y
327,male,yes,0.0,graduate,yes,5818,2160.0,184.0,360.0,1.0,semiurban,y
328,female,yes,0.0,graduate,no,4333,2451.0,110.0,360.0,1.0,urban,n
329,female,no,0.0,graduate,no,2500,0.0,67.0,360.0,1.0,urban,y
330,male,no,1.0,graduate,no,4384,1793.0,117.0,360.0,1.0,urban,y
331,male,no,0.0,graduate,no,2935,0.0,98.0,360.0,1.0,semiurban,y
337,male,yes,2.0,graduate,yes,2500,4600.0,176.0,360.0,1.0,rural,y
339,female,no,0.0,graduate,no,4160,0.0,71.0,360.0,1.0,semiurban,y
340,male,yes,3.0,not graduate,no,2647,1587.0,173.0,360.0,1.0,rural,n
341,female,no,0.0,graduate,no,2378,0.0,46.0,360.0,1.0,rural,n
342,male,yes,1.0,not graduate,no,4554,1229.0,158.0,360.0,1.0,urban,y
343,male,yes,3.0,not graduate,no,3173,0.0,74.0,360.0,1.0,semiurban,y
345,male,yes,0.0,graduate,no,2499,2458.0,160.0,360.0,1.0,semiurban,y
347,male,yes,2.0,not graduate,no,3083,2168.0,126.0,360.0,1.0,urban,y
349,male,yes,0.0,graduate,no,2625,6250.0,187.0,360.0,1.0,rural,y
350,male,yes,0.0,graduate,no,9083,0.0,228.0,360.0,1.0,semiurban,y
351,male,no,0.0,graduate,no,8750,4167.0,308.0,360.0,1.0,rural,n
352,male,yes,3.0,graduate,no,2666,2083.0,95.0,360.0,1.0,rural,y
353,female,yes,0.0,graduate,yes,5500,0.0,105.0,360.0,0.0,rural,n
354,female,yes,0.0,graduate,no,2423,505.0,130.0,360.0,1.0,semiurban,y
356,male,yes,2.0,graduate,no,8333,3167.0,165.0,360.0,1.0,rural,y
357,male,yes,1.0,graduate,no,3875,0.0,67.0,360.0,1.0,urban,n
358,male,yes,0.0,not graduate,no,3000,1666.0,100.0,480.0,0.0,urban,n
359,male,yes,3.0,graduate,no,5167,3167.0,200.0,360.0,1.0,semiurban,y
360,female,no,1.0,graduate,no,4723,0.0,81.0,360.0,1.0,semiurban,n
361,male,yes,2.0,graduate,no,5000,3667.0,236.0,360.0,1.0,semiurban,y
362,male,yes,0.0,graduate,no,4750,2333.0,130.0,360.0,1.0,urban,y
364,male,no,0.0,graduate,yes,6822,0.0,141.0,360.0,1.0,rural,y
365,male,no,0.0,not graduate,no,6216,0.0,133.0,360.0,1.0,rural,n
366,male,no,0.0,graduate,no,2500,0.0,96.0,480.0,1.0,semiurban,n
368,male,yes,1.0,graduate,no,6325,0.0,175.0,360.0,1.0,semiurban,y
369,male,yes,0.0,graduate,no,19730,5266.0,570.0,360.0,1.0,rural,n
370,female,no,0.0,graduate,yes,15759,0.0,55.0,360.0,1.0,semiurban,y
371,male,yes,2.0,graduate,no,5185,0.0,155.0,360.0,1.0,semiurban,y
372,male,yes,2.0,graduate,yes,9323,7873.0,380.0,300.0,1.0,rural,y
373,male,no,1.0,graduate,no,3062,1987.0,111.0,180.0,0.0,urban,n
375,male,yes,0.0,graduate,no,4817,923.0,120.0,180.0,1.0,urban,y
376,male,yes,3.0,graduate,no,8750,4996.0,130.0,360.0,1.0,rural,y
378,male,no,0.0,graduate,no,3069,0.0,71.0,480.0,1.0,urban,n
379,male,yes,2.0,graduate,no,5391,0.0,130.0,360.0,1.0,urban,y
381,male,no,0.0,graduate,no,5941,4232.0,296.0,360.0,1.0,semiurban,y
382,female,no,0.0,graduate,no,6000,0.0,156.0,360.0,1.0,urban,y
383,male,no,0.0,graduate,yes,7167,0.0,128.0,360.0,1.0,urban,y
384,male,yes,2.0,graduate,no,4566,0.0,100.0,360.0,1.0,urban,n
386,male,no,0.0,not graduate,no,2346,1600.0,132.0,360.0,1.0,semiurban,y
388,male,yes,0.0,graduate,no,2333,2417.0,136.0,360.0,1.0,urban,y
389,male,yes,0.0,graduate,no,5488,0.0,125.0,360.0,1.0,rural,y
390,male,no,3.0,graduate,no,9167,0.0,185.0,360.0,1.0,rural,y
391,male,yes,3.0,graduate,no,9504,0.0,275.0,360.0,1.0,rural,y
393,male,yes,2.0,not graduate,no,1993,1625.0,113.0,180.0,1.0,semiurban,y
394,male,yes,2.0,graduate,no,3100,1400.0,113.0,360.0,1.0,urban,y
396,female,no,0.0,graduate,no,3180,0.0,71.0,360.0,0.0,urban,n
397,male,yes,0.0,graduate,no,3033,1459.0,95.0,360.0,1.0,urban,y
398,male,no,0.0,not graduate,no,3902,1666.0,109.0,360.0,1.0,rural,y
399,female,no,0.0,graduate,no,1500,1800.0,103.0,360.0,0.0,semiurban,n
400,male,yes,2.0,not graduate,no,2889,0.0,45.0,180.0,0.0,urban,n
401,male,no,0.0,not graduate,no,2755,0.0,65.0,300.0,1.0,rural,n
402,male,no,0.0,graduate,no,2500,20000.0,103.0,360.0,1.0,semiurban,y
403,female,no,0.0,not graduate,no,1963,0.0,53.0,360.0,1.0,semiurban,y
404,female,no,0.0,graduate,yes,7441,0.0,194.0,360.0,1.0,rural,n
405,female,no,0.0,graduate,no,4547,0.0,115.0,360.0,1.0,semiurban,y
406,male,yes,0.0,not graduate,no,2167,2400.0,115.0,360.0,1.0,urban,y
407,female,no,0.0,not graduate,no,2213,0.0,66.0,360.0,1.0,rural,y
408,male,yes,1.0,graduate,no,8300,0.0,152.0,300.0,0.0,semiurban,n
409,male,yes,3.0,graduate,no,81000,0.0,360.0,360.0,0.0,rural,n
410,female,no,1.0,not graduate,yes,3867,0.0,62.0,360.0,1.0,semiurban,n
412,male,yes,0.0,not graduate,no,6096,0.0,218.0,360.0,0.0,rural,n
413,male,yes,0.0,not graduate,no,2253,2033.0,110.0,360.0,1.0,rural,y
414,female,yes,0.0,not graduate,no,2149,3237.0,178.0,360.0,0.0,semiurban,n
415,female,no,0.0,graduate,no,2995,0.0,60.0,360.0,1.0,urban,y
416,female,no,1.0,graduate,no,2600,0.0,160.0,360.0,1.0,urban,n
417,male,yes,2.0,graduate,yes,1600,20000.0,239.0,360.0,1.0,urban,n
418,male,yes,0.0,graduate,no,1025,2773.0,112.0,360.0,1.0,rural,y
419,male,yes,0.0,graduate,no,3246,1417.0,138.0,360.0,1.0,semiurban,y
420,male,yes,0.0,graduate,no,5829,0.0,138.0,360.0,1.0,rural,y
422,male,yes,0.0,graduate,no,1820,1719.0,100.0,360.0,1.0,urban,y
424,male,yes,0.0,graduate,no,14880,0.0,96.0,360.0,1.0,semiurban,y
425,male,yes,0.0,graduate,no,2666,4300.0,121.0,360.0,1.0,rural,y
426,female,no,1.0,not graduate,no,4606,0.0,81.0,360.0,1.0,rural,n
427,male,yes,2.0,graduate,no,5935,0.0,133.0,360.0,1.0,semiurban,y
428,male,yes,0.0,graduate,no,2920,16.12000084,87.0,360.0,1.0,rural,y
429,male,no,0.0,not graduate,no,2717,0.0,60.0,180.0,1.0,urban,y
430,female,no,1.0,graduate,yes,8624,0.0,150.0,360.0,1.0,semiurban,y
431,male,no,0.0,graduate,no,6500,0.0,105.0,360.0,0.0,rural,n
433,male,yes,0.0,graduate,no,2425,2340.0,143.0,360.0,1.0,semiurban,y
434,male,no,0.0,graduate,no,3750,0.0,100.0,360.0,1.0,urban,y
436,male,no,0.0,graduate,no,1926,1851.0,50.0,360.0,1.0,semiurban,y
438,male,no,0.0,graduate,yes,10416,0.0,187.0,360.0,0.0,urban,n
439,female,yes,0.0,not graduate,yes,7142,0.0,138.0,360.0,1.0,rural,y
440,male,no,0.0,graduate,no,3660,5064.0,187.0,360.0,1.0,semiurban,y
441,male,yes,0.0,graduate,no,7901,1833.0,180.0,360.0,1.0,rural,y
442,male,no,3.0,not graduate,no,4707,1993.0,148.0,360.0,1.0,semiurban,y
443,male,no,1.0,graduate,no,37719,0.0,152.0,360.0,1.0,semiurban,y
445,male,yes,1.0,graduate,yes,3466,1210.0,130.0,360.0,1.0,rural,y
446,male,yes,2.0,not graduate,no,4652,0.0,110.0,360.0,1.0,rural,y
448,male,yes,2.0,graduate,no,3340,1710.0,150.0,360.0,0.0,rural,n
450,male,yes,2.0,not graduate,no,2309,1255.0,125.0,360.0,0.0,rural,n
452,male,yes,0.0,graduate,no,3948,1733.0,149.0,360.0,0.0,rural,n
453,male,yes,0.0,graduate,no,2483,2466.0,90.0,180.0,0.0,rural,y
454,male,no,0.0,graduate,yes,7085,0.0,84.0,360.0,1.0,semiurban,y
455,male,yes,2.0,graduate,no,3859,0.0,96.0,360.0,1.0,semiurban,y
456,male,yes,0.0,graduate,no,4301,0.0,118.0,360.0,1.0,urban,y
457,male,yes,0.0,graduate,no,3708,2569.0,173.0,360.0,1.0,urban,n
458,male,no,2.0,graduate,no,4354,0.0,136.0,360.0,1.0,rural,y
459,male,yes,0.0,graduate,no,8334,0.0,160.0,360.0,1.0,semiurban,n
461,male,yes,3.0,graduate,no,7740,0.0,128.0,180.0,1.0,urban,y
462,male,yes,0.0,graduate,no,3015,2188.0,153.0,360.0,1.0,rural,y
464,male,no,0.0,graduate,no,4166,0.0,98.0,360.0,0.0,semiurban,n
465,male,no,0.0,graduate,no,6000,0.0,140.0,360.0,1.0,rural,y
466,male,yes,3.0,not graduate,no,2947,1664.0,70.0,180.0,0.0,urban,n
469,male,yes,0.0,graduate,no,4333,2451.0,110.0,360.0,1.0,urban,n
470,male,yes,1.0,graduate,yes,3450,2079.0,162.0,360.0,1.0,semiurban,y
471,male,yes,1.0,not graduate,no,2653,1500.0,113.0,180.0,0.0,rural,n
472,male,yes,3.0,graduate,no,4691,0.0,100.0,360.0,1.0,semiurban,y
474,male,no,2.0,graduate,no,5532,4648.0,162.0,360.0,1.0,rural,y
475,male,yes,2.0,graduate,yes,16525,1014.0,150.0,360.0,1.0,rural,y
476,male,yes,2.0,graduate,no,6700,1750.0,230.0,300.0,1.0,semiurban,y
478,male,yes,1.0,graduate,yes,16667,2250.0,86.0,360.0,1.0,semiurban,y
480,female,no,0.0,not graduate,no,4350,0.0,154.0,360.0,1.0,rural,y
481,male,yes,3.0,not graduate,no,3095,0.0,113.0,360.0,1.0,rural,y
482,male,yes,0.0,graduate,no,2083,3150.0,128.0,360.0,1.0,semiurban,y
483,male,yes,0.0,graduate,no,10833,0.0,234.0,360.0,1.0,semiurban,y
484,male,yes,2.0,graduate,no,8333,0.0,246.0,360.0,1.0,semiurban,y
485,male,yes,1.0,not graduate,no,1958,2436.0,131.0,360.0,1.0,rural,y
486,male,no,2.0,graduate,no,3547,0.0,80.0,360.0,0.0,rural,n
487,male,yes,1.0,graduate,no,18333,0.0,500.0,360.0,1.0,urban,n
488,male,yes,2.0,graduate,yes,4583,2083.0,160.0,360.0,1.0,semiurban,y
489,male,no,0.0,graduate,no,2435,0.0,75.0,360.0,1.0,urban,n
492,male,no,0.0,not graduate,no,3691,0.0,110.0,360.0,1.0,rural,y
493,female,no,0.0,not graduate,yes,17263,0.0,225.0,360.0,1.0,semiurban,y
494,male,yes,0.0,graduate,no,3597,2157.0,119.0,360.0,0.0,rural,n
495,female,yes,1.0,graduate,no,3326,913.0,105.0,84.0,1.0,semiurban,y
496,male,yes,0.0,not graduate,no,2600,1700.0,107.0,360.0,1.0,rural,y
498,male,yes,1.0,graduate,yes,2895,0.0,95.0,360.0,1.0,semiurban,y
499,male,no,0.0,graduate,no,6283,4416.0,209.0,360.0,0.0,rural,n
500,female,no,0.0,graduate,no,645,3683.0,113.0,480.0,1.0,rural,y
501,female,no,0.0,graduate,no,3159,0.0,100.0,360.0,1.0,semiurban,y
502,male,yes,2.0,graduate,no,4865,5624.0,208.0,360.0,1.0,semiurban,y
504,male,yes,0.0,not graduate,no,3814,1483.0,124.0,300.0,1.0,semiurban,y
505,male,yes,2.0,graduate,no,3510,4416.0,243.0,360.0,1.0,rural,y
508,male,yes,0.0,graduate,yes,2479,3013.0,188.0,360.0,1.0,urban,y
509,female,no,1.0,graduate,no,13262,0.0,40.0,360.0,1.0,urban,y
510,male,no,0.0,not graduate,no,3598,1287.0,100.0,360.0,1.0,rural,n
511,male,yes,1.0,graduate,no,6065,2004.0,250.0,360.0,1.0,semiurban,y
512,male,yes,2.0,graduate,no,3283,2035.0,148.0,360.0,1.0,urban,y
513,male,yes,0.0,graduate,no,2130,6666.0,70.0,180.0,1.0,semiurban,n
514,male,no,0.0,graduate,no,5815,3666.0,311.0,360.0,1.0,rural,n
515,male,yes,3.0,graduate,no,3466,3428.0,150.0,360.0,1.0,rural,y
516,female,yes,2.0,graduate,no,2031,1632.0,113.0,480.0,1.0,semiurban,y
518,male,no,0.0,graduate,no,4683,1915.0,185.0,360.0,1.0,semiurban,n
519,female,no,0.0,not graduate,no,3400,0.0,95.0,360.0,1.0,rural,n
520,male,yes,2.0,not graduate,no,2192,1742.0,45.0,360.0,1.0,semiurban,y
521,male,no,0.0,graduate,no,2500,0.0,55.0,360.0,1.0,semiurban,y
522,male,yes,3.0,graduate,yes,5677,1424.0,100.0,360.0,1.0,rural,y
523,male,yes,2.0,graduate,yes,7948,7166.0,480.0,360.0,1.0,rural,y
525,male,yes,2.0,graduate,yes,17500,0.0,400.0,360.0,1.0,rural,y
526,male,yes,0.0,graduate,no,3775,0.0,110.0,360.0,1.0,semiurban,y
527,male,yes,1.0,not graduate,no,5285,1430.0,161.0,360.0,0.0,semiurban,y
528,male,no,1.0,not graduate,no,2679,1302.0,94.0,360.0,1.0,semiurban,y
529,male,no,0.0,not graduate,no,6783,0.0,130.0,360.0,1.0,semiurban,y
531,male,yes,3.0,graduate,no,4281,0.0,100.0,360.0,1.0,urban,y
532,male,no,2.0,graduate,no,3588,0.0,110.0,360.0,0.0,rural,n
534,female,no,0.0,not graduate,yes,18165,0.0,125.0,360.0,1.0,urban,y
536,male,yes,0.0,graduate,no,6133,3906.0,324.0,360.0,1.0,urban,y
537,male,no,2.0,graduate,no,3617,0.0,107.0,360.0,1.0,semiurban,y
538,male,yes,0.0,not graduate,no,2917,536.0,66.0,360.0,1.0,rural,n
539,male,yes,3.0,graduate,no,6417,0.0,157.0,180.0,1.0,rural,y
540,female,yes,1.0,graduate,no,4608,2845.0,140.0,180.0,1.0,semiurban,y
541,female,no,0.0,graduate,no,2138,0.0,99.0,360.0,0.0,semiurban,n
543,male,yes,1.0,not graduate,no,2239,2524.0,128.0,360.0,1.0,urban,y
545,male,yes,0.0,graduate,no,2768,1950.0,155.0,360.0,1.0,rural,y
546,male,no,0.0,not graduate,no,3358,0.0,80.0,36.0,1.0,semiurban,n
547,male,no,0.0,graduate,no,2526,1783.0,145.0,360.0,1.0,rural,y
548,female,no,0.0,graduate,no,5000,0.0,103.0,360.0,0.0,semiurban,n
549,male,yes,0.0,graduate,no,2785,2016.0,110.0,360.0,1.0,rural,y
552,male,yes,1.0,graduate,no,3333,3250.0,158.0,360.0,1.0,urban,y
553,male,yes,0.0,not graduate,no,2454,2333.0,181.0,360.0,0.0,urban,n
554,male,yes,0.0,graduate,no,3593,4266.0,132.0,180.0,0.0,rural,n
555,male,yes,1.0,graduate,no,5468,1032.0,26.0,360.0,1.0,semiurban,y
557,male,yes,3.0,graduate,yes,10139,0.0,260.0,360.0,1.0,semiurban,y
558,male,yes,0.0,graduate,no,3887,2669.0,162.0,360.0,1.0,semiurban,y
559,female,yes,0.0,graduate,no,4180,2306.0,182.0,360.0,1.0,semiurban,y
560,male,yes,2.0,not graduate,no,3675,242.0,108.0,360.0,1.0,semiurban,y
561,female,yes,1.0,graduate,yes,19484,0.0,600.0,360.0,1.0,semiurban,y
562,male,yes,0.0,graduate,no,5923,2054.0,211.0,360.0,1.0,rural,y
563,male,no,0.0,not graduate,yes,5800,0.0,132.0,360.0,1.0,semiurban,y
564,male,yes,2.0,graduate,no,8799,0.0,258.0,360.0,0.0,urban,n
566,male,no,0.0,graduate,no,3333,0.0,70.0,360.0,1.0,urban,y
567,male,yes,3.0,graduate,no,3400,2500.0,123.0,360.0,0.0,rural,n
568,female,no,0.0,graduate,no,2378,0.0,9.0,360.0,1.0,urban,n
569,male,yes,0.0,graduate,no,3166,2064.0,104.0,360.0,0.0,urban,n
570,male,yes,1.0,graduate,no,3417,1750.0,186.0,360.0,1.0,urban,y
572,male,yes,2.0,graduate,no,16666,0.0,275.0,360.0,1.0,urban,y
573,male,yes,2.0,not graduate,no,6125,1625.0,187.0,480.0,1.0,semiurban,n
574,male,yes,3.0,graduate,no,6406,0.0,150.0,360.0,1.0,semiurban,n
575,male,yes,2.0,graduate,no,3159,461.0,108.0,84.0,1.0,urban,y
577,male,no,0.0,graduate,no,3229,2739.0,110.0,360.0,1.0,urban,y
578,male,yes,1.0,graduate,no,1782,2232.0,107.0,360.0,1.0,rural,y
580,male,yes,2.0,graduate,no,6540,0.0,205.0,360.0,1.0,semiurban,y
581,male,no,0.0,graduate,no,1836,33837.0,90.0,360.0,1.0,urban,n
582,female,yes,0.0,graduate,no,3166,0.0,36.0,360.0,1.0,semiurban,y
584,male,yes,1.0,graduate,no,2787,1917.0,146.0,360.0,0.0,rural,n
585,male,yes,1.0,graduate,no,4283,3000.0,172.0,84.0,1.0,rural,n
586,male,yes,0.0,graduate,no,2297,1522.0,104.0,360.0,1.0,urban,y
587,female,no,0.0,not graduate,no,2165,0.0,70.0,360.0,1.0,semiurban,y
589,male,yes,2.0,graduate,yes,2726,0.0,106.0,360.0,0.0,semiurban,n
590,male,yes,0.0,graduate,no,3000,3416.0,56.0,180.0,1.0,semiurban,y
591,male,yes,2.0,graduate,yes,6000,0.0,205.0,240.0,1.0,semiurban,n
593,male,yes,0.0,graduate,no,3859,3300.0,142.0,180.0,1.0,rural,y
594,male,yes,0.0,graduate,yes,16120,0.0,260.0,360.0,1.0,urban,y
595,male,no,0.0,not graduate,no,3833,0.0,110.0,360.0,1.0,rural,y
596,male,yes,2.0,not graduate,yes,6383,1000.0,187.0,360.0,1.0,rural,n
598,male,yes,0.0,graduate,yes,9963,0.0,180.0,360.0,1.0,rural,y
599,male,yes,2.0,graduate,no,5780,0.0,192.0,360.0,1.0,urban,y
602,male,yes,3.0,graduate,no,5703,0.0,128.0,360.0,1.0,urban,y
603,male,no,0.0,graduate,no,3676,4301.0,172.0,360.0,1.0,rural,y
604,female,yes,1.0,graduate,no,12000,0.0,496.0,360.0,1.0,semiurban,y
606,male,yes,1.0,graduate,no,3400,2500.0,173.0,360.0,1.0,semiurban,y
607,male,yes,2.0,not graduate,no,3987,1411.0,157.0,360.0,1.0,rural,y
608,male,yes,0.0,graduate,no,3232,1950.0,108.0,360.0,1.0,rural,y
609,female,no,0.0,graduate,no,2900,0.0,71.0,360.0,1.0,rural,y
610,male,yes,3.0,graduate,no,4106,0.0,40.0,180.0,1.0,rural,y
611,male,yes,1.0,graduate,no,8072,240.0,253.0,360.0,1.0,urban,y
612,male,yes,2.0,graduate,no,7583,0.0,187.0,360.0,1.0,urban,y
613,female,no,0.0,graduate,yes,4583,0.0,133.0,360.0,0.0,semiurban,n
